Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XXII,"22nd Century Group, Inc",1.89,$171.79M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.025,$1.27B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,6.14,$139.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",7.17,$67.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.85,$133.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",8.82,$77.12M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",7.3992,$68.84M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",19.6383,$78.51M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,28.36,$95.14M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AIII,"ACRE Realty Investors, Inc.",1.13,$23.16M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
ATNM,"Actinium Pharmaceuticals, Inc.",1.46,$85.33M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",41.36,$174.44M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,0.96,$19.01M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,Adcare Health Systems Inc,21.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
ACY,AeroCentury Corp.,11.95,$16.93M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
AIRI,Air Industries Group,2.49,$19.05M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.26,$127.45M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,5.35,$190.26M,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",1.34,$133.88M,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",2.825,$42.51M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,88.7,$137.88M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,102.2,$69.39M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
ALN,American Lorain Corporation,0.47,$17.99M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,4.15,$23.68M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,2.86,$114.12M,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",0.5634,$32.25M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,0.7101,$4.71M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
AXN,"Aoxing Pharmaceutical Company, Inc.",0.3323,$25.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
ARNC^,Arconic Inc.,89.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arnc^
AKG,Asanko Gold Inc.,1.55,$315.08M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,51.1799,$103.23M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB.WS,Associated Banc-Corp,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
AST,"Asterias Biotherapeutics, Inc.",3.15,$155.18M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
AST.WS,"Asterias Biotherapeutics, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ast.ws
AUXO,"Auxilio, Inc.",4.85,$45.54M,2017,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/auxo
AWX,Avalon Holdings Corporation,2.8,$10.65M,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
ASM,Avino Silver,1.58,$82.86M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,2.73,$2.66B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",7.05,$100.48M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",16.5,$104.9M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,21.55,$111.62M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,25.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv^a
BAA,BANRO CORPORATION,0.7494,$82.25M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,"Bar Harbor Bankshares, Inc.",31.84,$490.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",2.1,$17.38M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,16.875,$147.49M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,0.51,$37.81M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",3.19,$353.69M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX.WS,"BioTime, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
BGI,Birks Group Inc.,1.3621,$24.46M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,14.9947,$31.18M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,14.051,$33.26M,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,15.31,$359.79M,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,15.04,$34.99M,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,14.72,$73.67M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BHV,BlackRock Virginia Municipal Bond Trust,18.7,$29.87M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",0.5236,$4.25M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",12.8,$309.65M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.38,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",26.1858,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.093,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^d
BVX,Bovie Medical Corporation,2.36,$72.83M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
BTI,British American Tobacco p.l.c.,70.12,$130.74B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
CEI,"Camber Energy, Inc.",0.207,$4.92M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.78,$29.11M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",1.85,$301.12M,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",3.2,$22.42M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,0.105,$24.13M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM.WS,Cel-Sci Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws
CEF,Central Fund of Canada Limited,12.59,$3.17B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
CET,Central Securities Corporation,24.8501,$618.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,5.2,$46.8M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
CCF,Chase Corporation,115.6,$1.08B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,"Cheniere Energy Partners LP Holdings, LLC",26.54,$6.15B,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",31.81,$10.75B,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",49.25,$11.72B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,37.75,$36.47M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.2033,$8.86M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",12.1,$23.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
GLV,Clough Global Dividend and Income Fund,13.67,$142.07M,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,12.87,$227.2M,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,10.59,$546.17M,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo
MOC,Command Security Corporation,3.15,$31.02M,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,13.9,$172.63M,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.1366,$26.22M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CTO,Consolidated-Tomoka Land Co.,55.34,$311.4M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,6.48,$165.71M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,20.3,$34.15M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,22.02,$171.59M,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",1.35,$252.56M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc,0.439,$26.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",16.91,$220.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",17.2,$493.59M,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",8.9,$78.61M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.31,$173.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.85,$284.99M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,5.8,$429.28M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crhm
CRVP,"Crystal Rock Holdings, Inc.",0.82,$17.51M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
DXR,Daxor Corporation,7.03,$26.7M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",15.062,$72.86M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.42,$60.77M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",14.65,$168.55M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",20.4,$154.46M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.44,$245.99M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",1.68,$45.2M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse
DPW,Digital Power Corporation,0.4556,$4.2M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw
DSS,"Document Security Systems, Inc.",0.83,$11.33M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss
DMF,"Dreyfus Municipal Income, Inc.",9.03,$187.34M,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf
GRF,"Eagle Capital Growth Fund, Inc.",7.794,$27.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
EVM,Eaton Vance California Municipal Bond Fund,11.6684,$249.64M,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,11.8,$45.86M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,12.61,$91.48M,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,13.82,$1.61B,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.95,$24.67M,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.5357,$37.05M,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.88,$20.82M,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,13.18,$26.53M,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,12.73,$867.78M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,12.47,$124.87M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,13.41,$34.59M,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,12.28,$56.47M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,12.49,$195.62M,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,11.9,$30.42M,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,13.07,$71.57M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,13.1801,$33.45M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,13.99,$39.97M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.983,$38.43M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.2499,$31.86M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",5.11,$42.06M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,8.72,$93.11M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,9.07,$116.79M,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf
EMAN,eMagin Corporation,2.55,$89.13M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,1.39,$37.62M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
UUUU,Energy Fuels Inc,1.61,$113.09M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uuuu.ws
ENRJ,"EnerJex Resources, Inc.",0.275,$2.7M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENSV,ENSERVCO Corporation,0.3301,$16.86M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
ESNC,"EnSync, Inc.",0.5717,$27.45M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc
EGI,Entree Resources Ltd.,0.4162,$71.92M,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",24.8,$257.15M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERN,Erin Energy Corp.,1.75,$373.46M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern
ESP,Espey Mfg. & Electronics Corp.,22.9,$54.3M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EMX,Eurasian Minerals Inc.,0.9064,$72.02M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emx
EVBN,"Evans Bancorp, Inc.",40,$190.68M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",7.95,$262.85M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
XRA,Exeter Resource Corporation,1.61,$144.91M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
FPP,FieldPoint Petroleum Corporation,0.365,$3.89M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FPP.WS,FieldPoint Petroleum Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp.ws
FEN,First Trust Energy Income and Growth Fund,25.32,$490.68M,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",27.07,$50.31M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,2.12,$24.3M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,12,$271.25M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,11.48,$1.23B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,5.57,$39.04M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",5.66,$761.06M,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
EGAS,Gas Natural Inc.,12.7,$133.6M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas
GST,Gastar Exploration Inc.,1.12,$237.33M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,18.46,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,22.16,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,GEE Group Inc.,5.374,$53.09M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.382,$34.74M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GSB,"GlobalSCAPE, Inc.",4.81,$103.76M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",2.04,$2.28B,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",0.2575,$9.41M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.88,$220.54M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.85,$412.17M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.5422,$48.61M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",0.6623,$249.13M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),4.7,$119.62M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
GDP,Goodrich Petroleum Corporation,11.98,$109.12M,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,2.3,$898.88M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,1.19,$199.78M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",10.17,$1.68B,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GVP,"GSE Systems, Inc.",3.4,$65.23M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp
